userId,authType,완료한 Stage
ID049164,SUMTOTAL,4
ID063152,SUMTOTAL,4
ID037017,SUMTOTAL,4
ID068723,SUMTOTAL,4
ID065447,SUMTOTAL,4
ID056153,SUMTOTAL,4
IDAC-162220617,SUMTOTAL,4
ID041452,SUMTOTAL,4
ID027397,SUMTOTAL,4
ID055522,SUMTOTAL,4
IDFL-00284454,SUMTOTAL,4
ID066725,SUMTOTAL,4
ID037919,SUMTOTAL,4
ID058511,SUMTOTAL,4
ID060215,SUMTOTAL,4
IDFL-0023654,SUMTOTAL,4
ID061196,SUMTOTAL,4
ID037842,SUMTOTAL,4
IDAC-220110817,SUMTOTAL,4
ID046087,SUMTOTAL,4
ID058603,SUMTOTAL,4
ID051280,SUMTOTAL,4
ID063180,SUMTOTAL,4
ID028381,SUMTOTAL,4
ID045391,SUMTOTAL,4
ID056464,SUMTOTAL,4
IDFL-00284992,SUMTOTAL,4
ID065418,SUMTOTAL,4
ID030053,SUMTOTAL,4
ID000638,SUMTOTAL,4
IDAC-292780418,SUMTOTAL,4
ID063138,SUMTOTAL,4
ID068159,SUMTOTAL,3
ID061021,SUMTOTAL,4
ID068419,SUMTOTAL,4
ID061752,SUMTOTAL,4
ID049184,SUMTOTAL,4
ID067231,SUMTOTAL,4
ID066584,SUMTOTAL,4
ID065940,SUMTOTAL,4
ID065514,SUMTOTAL,4
IDFL-0023653,SUMTOTAL,4
ID058939,SUMTOTAL,4
ID068682,SUMTOTAL,4
ID046122,SUMTOTAL,4
ID054087,SUMTOTAL,4
IDKS-55820317,SUMTOTAL,4
ID064517,SUMTOTAL,4
ID059221,SUMTOTAL,4
ID068021,SUMTOTAL,4
ID062505,SUMTOTAL,4
ID050196,SUMTOTAL,4
ID042460,SUMTOTAL,4
IDAC-306270618,SUMTOTAL,4
ID053492,SUMTOTAL,4
ID045323,SUMTOTAL,4
IDAC-185330717,SUMTOTAL,4
IDFL-00290477,SUMTOTAL,4
ID036329,SUMTOTAL,4
IDAC-142600417,SUMTOTAL,4
ID068330,SUMTOTAL,4
ID056015,SUMTOTAL,4
ID052255,SUMTOTAL,4
ID057337,SUMTOTAL,4
ID061748,SUMTOTAL,4
ID066928,SUMTOTAL,4
IDAC-143240417,SUMTOTAL,4
ID066594,SUMTOTAL,4
ID039518,SUMTOTAL,4
ID044945,SUMTOTAL,4
ID064401,SUMTOTAL,4
ID048535,SUMTOTAL,4
ID058655,SUMTOTAL,4
IDFL-0021439,SUMTOTAL,4
ID067232,SUMTOTAL,4
ID035945,SUMTOTAL,4
ID050101,SUMTOTAL,4
ID059235,SUMTOTAL,4
ID065813,SUMTOTAL,4
ID050413,SUMTOTAL,4
ID051472,SUMTOTAL,4
ID038419,SUMTOTAL,4
ID066373,SUMTOTAL,4
ID052294,SUMTOTAL,4
ID056309,SUMTOTAL,4
IDFL-00293239,SUMTOTAL,4
ID065828,SUMTOTAL,4
ID060844,SUMTOTAL,4
ID049588,SUMTOTAL,4
ID068557,SUMTOTAL,4
ID052262,SUMTOTAL,4
ID061384,SUMTOTAL,4
IDAC-224850817,SUMTOTAL,4
ID061505,SUMTOTAL,4
ID068067,SUMTOTAL,4
ID060140,SUMTOTAL,4
ID067703,SUMTOTAL,4
ID051265,SUMTOTAL,4
ID039663,SUMTOTAL,4
IDFL-00274743,SUMTOTAL,4
ID059944,SUMTOTAL,4
ID054697,SUMTOTAL,4
ID056796,SUMTOTAL,4
ID047877,SUMTOTAL,4
ID065941,SUMTOTAL,4
ID052590,SUMTOTAL,4
ID027348,SUMTOTAL,4
ID063025,SUMTOTAL,4
IDAC-305090518,SUMTOTAL,4
ID067811,SUMTOTAL,4
ID046422,SUMTOTAL,4
ID067150,SUMTOTAL,4
ID037012,SUMTOTAL,4
ID067154,SUMTOTAL,4
ID068281,SUMTOTAL,3
ID061046,SUMTOTAL,4
ID042465,SUMTOTAL,4
ID052445,SUMTOTAL,4
ID053139,SUMTOTAL,4
ID039929,SUMTOTAL,4
ID043179,SUMTOTAL,4
ID064780,SUMTOTAL,4
ID065896,SUMTOTAL,4
ID063026,SUMTOTAL,4
ID066201,SUMTOTAL,4
ID053074,SUMTOTAL,4
ID068114,SUMTOTAL,4
ID063121,SUMTOTAL,4
ID052899,SUMTOTAL,4
IDAC-186280717,SUMTOTAL,4
IDKS-91781217,SUMTOTAL,4
ID066054,SUMTOTAL,4
IDAC-201330817,SUMTOTAL,4
ID059668,SUMTOTAL,4
ID063325,SUMTOTAL,4
ID063088,SUMTOTAL,4
ID064588,SUMTOTAL,4
ID067966,SUMTOTAL,4
ID033662,SUMTOTAL,4
ID029121,SUMTOTAL,4
ID065448,SUMTOTAL,4
IDFL-00294634,SUMTOTAL,4
ID063944,SUMTOTAL,4
ID059151,SUMTOTAL,4
ID002857,SUMTOTAL,4
ID063369,SUMTOTAL,4
IDAC-290130418,SUMTOTAL,4
ID065318,SUMTOTAL,4
IDFL-00287311,SUMTOTAL,4
IDFL-00266189,SUMTOTAL,4
ID055569,SUMTOTAL,4
ID059461,SUMTOTAL,4
ID061051,SUMTOTAL,4
ID064573,SUMTOTAL,4
ID028963,SUMTOTAL,4
ID066912,SUMTOTAL,4
ID060954,SUMTOTAL,4
ID062424,SUMTOTAL,4
ID059546,SUMTOTAL,4
ID060212,SUMTOTAL,4
ID047112,SUMTOTAL,4
ID048362,SUMTOTAL,4
ID047117,SUMTOTAL,4
IDAC-270831217,SUMTOTAL,4
IDFL-0023266,SUMTOTAL,4
ID060411,SUMTOTAL,4
ID059458,SUMTOTAL,4
ID051719,SUMTOTAL,4
IDAC-260851017,SUMTOTAL,4
ID043068,SUMTOTAL,4
ID044858,SUMTOTAL,4
ID063658,SUMTOTAL,4
IDAC-267131117,SUMTOTAL,4
ID054570,SUMTOTAL,4
ID063280,SUMTOTAL,4
ID044979,SUMTOTAL,4
ID041345,SUMTOTAL,4
ID068139,SUMTOTAL,4
ID050872,SUMTOTAL,4
ID061911,SUMTOTAL,4
ID065123,SUMTOTAL,4
ID054684,SUMTOTAL,4
ID057167,SUMTOTAL,4
IDAC-322980918,SUMTOTAL,4
ID056691,SUMTOTAL,4
ID063149,SUMTOTAL,4
ID065811,SUMTOTAL,4
ID055096,SUMTOTAL,4
ID044365,SUMTOTAL,4
ID035179,SUMTOTAL,4
ID066633,SUMTOTAL,4
ID062218,SUMTOTAL,3
ID055771,SUMTOTAL,4
IDFL-0016880,SUMTOTAL,4
ID050630,SUMTOTAL,4
ID065307,SUMTOTAL,4
IDAC-289070418,SUMTOTAL,4
ID064723,SUMTOTAL,4
ID067854,SUMTOTAL,4
ID061976,SUMTOTAL,4
ID043808,SUMTOTAL,4
ID065678,SUMTOTAL,4
ID054686,SUMTOTAL,4
ID066131,SUMTOTAL,4
ID037219,SUMTOTAL,4
ID064210,SUMTOTAL,4
ID068464,SUMTOTAL,4
ID065243,SUMTOTAL,4
ID047293,SUMTOTAL,4
ID055664,SUMTOTAL,4
ID062247,SUMTOTAL,4
IDFL-00269239,SUMTOTAL,4
